,Marital status,Course Code,Attendance,Previous qualification,Previous qualification (grade),Admission grade,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target,DropOff_Rate,Appreciation_Rate
886,single,9773,present,SSCE,136,129.7,yes,male,no,21,6,13.16666667,6,13,0.32,Graduate,0.17,0
887,single,9238,present,SSCE,110,112.5,yes,male,yes,53,6,11,7,11,-3.12,Graduate,0,0
888,single,9500,present,SSCE,136,136,yes,male,yes,19,7,14.01428571,8,15.35,0.79,Graduate,0,1.34
890,single,9773,present,SSCE,159,151.3,yes,male,no,18,6,14,6,14.66666667,1.74,Graduate,0,0.67
892,single,9500,present,SSCE,150,130.8,yes,male,yes,21,7,14.42857143,7,14.42857143,-1.7,Graduate,0,0
894,single,9085,present,OND,150,150,yes,male,no,26,18,11.83333333,13,12.46153846,-4.06,Graduate,0,0.63
896,single,9773,present,SSCE,120,125.3,yes,male,no,18,6,12.5,6,13,0.32,Graduate,0,0.5
897,single,9070,present,OND,130,124,yes,male,yes,21,12,13.33333333,11,12.54545455,-4.06,Graduate,0.79,0
899,single,9670,present,SSCE,128,124.4,yes,male,yes,19,6,13,6,14,0.79,Graduate,0,1
901,single,9238,present,SSCE,118,110,yes,male,yes,19,6,11.42857143,5,11.2,1.74,Graduate,0.23,0
902,single,9500,present,HND,130,130,yes,male,no,27,8,12.8875,8,12.8875,-3.12,Graduate,0,0
903,single,9500,present,SSCE,145,138.8,yes,male,yes,18,6,12.95,6,12.95,0.32,Graduate,0,0
905,single,9500,present,SSCE,114,114.5,yes,male,yes,19,7,13.09428571,8,12.55,1.79,Graduate,0.54,0
907,single,9238,present,SSCE,145,128.6,yes,male,yes,19,5,11.71428571,6,11,-1.7,Graduate,0.71,0
910,single,9853,present,SSCE,145,146.8,yes,male,no,18,6,13.16666667,6,13.33333333,0.32,Graduate,0,0.17
911,single,9085,present,SSCE,128,135.7,yes,male,no,20,4,12.75,5,13.4,1.74,Graduate,0,0.65
913,married,8014,absent,SSCE,130,138,yes,male,no,42,5,11.2,6,12,3.51,Graduate,0,0.8
915,single,9773,present,SSCE,120,120,yes,male,no,22,6,13,6,13.66666667,1.79,Graduate,0,0.67
918,married,9003,present,OND,160,160,yes,male,no,43,6,14.16666667,6,15,-4.06,Graduate,0,0.83
919,married,8014,absent,SSCE,133.1,114.8,yes,male,yes,41,5,12.83333333,6,12.33333333,0.79,Graduate,0.5,0
920,married,8014,absent,Bsc,140,131,yes,male,yes,29,4,11.75,5,10.4,1.74,Graduate,1.35,0
921,single,8014,absent,SSCE,133.1,97,yes,male,yes,35,6,10.83333333,6,11.5,1.74,Graduate,0,0.67
925,single,9500,present,SSCE,130,133,yes,male,yes,26,6,13.7,6,13.7,0.32,Graduate,0,0
927,married,8014,absent,SSCE,133.1,100,yes,male,no,37,7,11.375,6,12.16666667,0.79,Enrolled,0,0.79
931,single,9853,present,SSCE,115,108,yes,male,yes,19,6,13,7,13.28571429,1.79,Graduate,0,0.29
932,married,9670,present,HND,110,110,yes,male,no,32,8,13.6,8,15.11111111,0.79,Graduate,0,1.51
934,single,9500,present,SSCE,100,121.3,yes,male,no,34,7,11.70571429,7,11.70571429,1.74,Enrolled,0,0
935,single,171,present,SSCE,145,140.1,yes,male,no,20,12,13.25,11,14.33333333,3.51,Graduate,0,1.08
937,single,9991,absent,OND,150,150,yes,male,no,31,6,12,7,13.42857143,-3.12,Enrolled,0,1.43
940,single,9773,present,SSCE,110,105.5,yes,male,no,19,6,13,5,12.4,1.79,Graduate,0.6,0
941,single,9238,present,SSCE,128,127.3,yes,male,yes,19,6,14,6,12.28571429,-0.92,Graduate,1.71,0
944,single,9130,present,SSCE,137,122.7,yes,male,yes,18,7,15.28571429,8,16.075,1.79,Graduate,0,0.79
945,single,9254,present,SSCE,123,113.9,yes,male,no,18,6,13.16666667,6,12.66666667,2.02,Graduate,0.5,0
946,single,9147,present,SSCE,156,151.1,yes,female,no,19,5,13.6,5,12.83333333,-0.92,Graduate,0.77,0
950,single,9991,absent,SSCE,130,120.2,yes,female,no,30,5,11,5,11.6,0.32,Graduate,0,0.6
952,single,9003,present,OND,140,140,yes,female,no,20,6,13.57142857,6,12.66666667,1.79,Graduate,0.9,0
956,single,9773,present,SSCE,130,140.2,yes,female,yes,19,6,12,6,11.66666667,-0.92,Graduate,0.33,0
957,single,9773,present,SSCE,115,116.1,yes,female,no,19,6,12.5,5,13,1.79,Graduate,0,0.5
958,single,9147,present,SSCE,150,137.8,yes,female,yes,19,5,13.2,5,12.66666667,-0.92,Graduate,0.53,0
961,single,9147,present,SSCE,141,130.2,yes,female,no,24,15,13.46666667,14,13.64285714,-3.12,Graduate,0,0.18
962,single,9130,present,SSCE,133,126,yes,female,no,18,3,13.66666667,5,13.2,0.32,Graduate,0.47,0
964,single,9773,present,SSCE,121,113,yes,female,yes,18,6,11.66666667,5,10.2,1.79,Graduate,1.47,0
965,single,9003,present,OND,120,120,yes,female,no,21,5,13.4,5,12.4,3.51,Graduate,1,0
974,married,9991,absent,SSCE,170,151.1,yes,female,no,48,5,12.28571429,5,11.125,-0.92,Graduate,1.16,0
976,single,9500,present,Bsc,133.1,106,yes,female,no,24,6,12.66666667,6,12.66666667,0.32,Graduate,0,0
978,single,9991,absent,Bsc,133.1,155.5,no,female,no,39,5,10.6,5,14.66666667,1.74,Dropout,0,4.07
979,single,9003,present,SSCE,133.1,101,yes,female,no,21,9,11.9,8,12.25,-4.06,Graduate,0,0.35
981,married,9991,absent,SSCE,100,113,yes,female,yes,41,4,11,5,11.4,3.51,Enrolled,0,0.4
982,single,9773,present,SSCE,134,122.8,yes,female,no,18,6,12,6,12.5,-1.7,Graduate,0,0.5
985,single,9500,present,SSCE,154,142,yes,female,no,19,7,13.71428571,7,13.71428571,-1.7,Graduate,0,0
986,single,9003,present,Bsc,150,150,yes,female,no,28,6,14.875,6,15.8,-0.92,Graduate,0,0.93
990,single,9500,present,SSCE,130,128.6,yes,male,no,18,7,14.72857143,8,16.32727273,-0.92,Graduate,0,1.6
991,single,9130,present,SSCE,135,137.1,yes,male,no,18,6,12,5,14.8,1.79,Graduate,0,2.8
992,single,9773,present,SSCE,143,149,yes,male,no,18,6,11.42857143,6,11,2.02,Dropout,0.43,0
993,single,9238,present,OND,150,147,yes,male,no,19,6,14.16666667,6,13.5,1.79,Graduate,0.67,0
994,married,9238,present,HND,150,150,yes,male,no,31,5,12.5,5,14.6,-1.7,Graduate,0,2.1
995,single,8014,absent,SSCE,130,103.5,yes,male,yes,33,6,14.16666667,6,14.33333333,-1.7,Graduate,0,0.17
996,single,9500,present,SSCE,113,107.8,yes,male,yes,20,5,14.46,6,13.55,1.79,Enrolled,0.91,0
998,single,9254,present,SSCE,115,109.4,yes,male,no,19,6,12.66666667,5,13.4,2.02,Graduate,0,0.73
999,single,9070,present,SSCE,146,143.6,yes,male,no,18,6,12.5,6,13,0.32,Dropout,0,0.5
1004,single,9238,present,SSCE,136,126.6,yes,male,no,18,6,16.5,6,17.42857143,2.02,Dropout,0,0.93
1005,single,9085,present,SSCE,142,130.8,yes,male,no,18,3,13.66666667,5,12,-1.7,Graduate,1.67,0
1006,single,9500,present,SSCE,139,133.5,yes,male,yes,18,7,15.22857143,7,15.22857143,-1.7,Graduate,0,0
1007,single,9238,present,Msc,140,136.9,yes,male,no,21,9,12.77777778,9,13.22222222,3.51,Graduate,0,0.44
1008,single,9500,present,SSCE,165,142.3,yes,male,yes,18,7,14.42857143,7,14.42857143,-1.7,Graduate,0,0
1009,single,9670,present,SSCE,122,114.3,yes,male,no,18,6,13.875,6,13.71428571,2.02,Graduate,0.16,0
1010,single,9500,present,SSCE,135,122.9,yes,male,no,18,7,13.128,6,13.19333333,-4.06,Graduate,0,0.07
1011,single,9500,present,SSCE,128,117.2,yes,male,no,20,6,11.605,7,12.4125,-0.92,Graduate,0,0.81
1012,single,9147,present,SSCE,139,152,yes,male,yes,18,5,14.6,5,12,-1.7,Graduate,2.6,0
1014,single,9147,present,SSCE,102,101.7,yes,male,yes,20,5,11.8,5,11.6,3.51,Graduate,0.2,0
1015,single,9254,present,SSCE,116,119.9,yes,male,no,20,6,12.33333333,6,12.33333333,1.79,Graduate,0,0
1017,single,9070,present,SSCE,135,121.8,yes,male,yes,19,11,13.18181818,11,12.90909091,2.02,Graduate,0.27,0
1019,single,9773,present,SSCE,132,124.3,yes,male,yes,19,6,11.83333333,6,12.28571429,-4.06,Graduate,0,0.45
1020,single,9500,present,SSCE,126,124.3,yes,male,yes,20,8,12.98125,8,12.98125,-3.12,Graduate,0,0
1021,single,9147,present,OND,117.4,117.4,yes,male,no,21,6,11.33333333,5,11.2,2.02,Graduate,0.13,0
1022,single,9500,present,SSCE,120,112.7,yes,male,no,21,6,11.68,6,11.68,1.74,Graduate,0,0
1023,single,9070,present,SSCE,116,123.7,yes,male,no,20,6,14.5,6,13.5,2.02,Graduate,1,0
1024,single,9853,present,SSCE,111,105.8,yes,male,no,19,7,13.14285714,7,12.85714286,3.51,Graduate,0.29,0
1026,single,9085,present,SSCE,123,122.3,yes,male,no,18,5,14.2,5,11.8,0.32,Graduate,2.4,0
1027,single,9254,present,SSCE,131,123.7,yes,male,yes,19,5,11.66666667,5,12.2,3.51,Graduate,0,0.53
1028,single,9500,present,SSCE,135,129.8,yes,male,no,18,7,13.175,8,14.875,0.79,Graduate,0,1.7
1029,single,9500,present,SSCE,136,123.8,yes,male,yes,19,7,13.31428571,7,13.31428571,-1.7,Graduate,0,0
1032,single,9773,present,SSCE,144,138.4,yes,male,no,18,6,13.42857143,6,14.14285714,0.79,Graduate,0,0.71
1033,single,9085,present,SSCE,129,118.2,yes,male,yes,18,4,13.25,5,15.57142857,1.74,Graduate,0,2.32
1035,single,9070,present,SSCE,125,118,yes,male,yes,18,6,14.33333333,6,14,2.02,Enrolled,0.33,0
1037,single,9238,present,SSCE,154,164.9,yes,male,no,18,6,14,6,13.16666667,1.74,Graduate,0.83,0
1038,single,9085,present,SSCE,100,100,yes,male,yes,20,2,12,6,12.83333333,0.79,Graduate,0,0.83
1039,single,9853,present,SSCE,124,121.6,yes,male,no,18,5,12.33333333,5,10.6,-4.06,Enrolled,1.73,0
1040,single,9070,present,SSCE,126,120.4,yes,male,no,18,5,11.8,5,10.4,-0.92,Graduate,1.4,0
1041,single,9500,present,SSCE,124,117.8,yes,male,yes,20,7,12.79142857,7,12.79142857,1.74,Graduate,0,0
1042,married,9670,present,SSCE,150,110,yes,male,no,40,8,11.625,5,11.2,-3.12,Graduate,0.43,0
1043,single,9500,present,SSCE,133,128.8,yes,male,yes,18,6,11.99444444,7,12.43142857,-4.06,Graduate,0,0.44
1044,single,9254,present,SSCE,126,116.6,yes,male,no,19,5,11.6,5,12.2,0.79,Graduate,0,0.6
1046,single,9773,present,SSCE,175,157.5,yes,male,no,19,6,13.16666667,6,13.16666667,1.74,Dropout,0,0
1047,single,9500,present,SSCE,141,136.3,yes,male,no,19,7,14.1,7,14.1,1.74,Graduate,0,0
1048,single,9500,present,SSCE,133,121.5,yes,male,yes,20,6,12.39666667,7,12.94285714,2.02,Graduate,0,0.55
1049,single,9500,present,SSCE,143,133.9,yes,male,no,18,7,15.01428571,8,16.0875,1.79,Graduate,0,1.07
1051,single,9500,present,SSCE,134,133.5,yes,male,no,19,7,14.05,8,15.1,0.79,Graduate,0,1.05
1052,single,9500,present,SSCE,138,130,yes,male,no,18,7,14.85,8,15.2,0.79,Dropout,0,0.35
1053,single,9085,present,OND,140,140,yes,male,no,19,6,13,5,13,1.79,Graduate,0,0
1054,single,9500,present,SSCE,142,132.7,yes,male,yes,19,7,14.7875,8,15.8625,0.79,Graduate,0,1.08
1055,single,9500,present,SSCE,118,117.8,yes,male,yes,19,7,13.7,7,14.67142857,1.79,Graduate,0,0.97
1056,single,9500,present,SSCE,131,126.1,yes,male,yes,19,7,12.49571429,7,12.24285714,2.02,Dropout,0.25,0
1057,single,9500,present,SSCE,130,120,yes,male,no,19,6,14.56666667,6,14.56666667,0.32,Graduate,0,0
1059,single,9500,present,SSCE,130,116.8,yes,male,no,20,7,12.68571429,7,12.68571429,-1.7,Graduate,0,0
1062,single,8014,absent,SSCE,130,131.5,yes,male,no,27,5,11,6,11.16666667,2.02,Graduate,0,0.17
1063,single,9500,present,SSCE,149,134.8,yes,male,no,18,8,14.445,8,14.445,-3.12,Graduate,0,0
1065,single,8014,absent,Phd,130,130,no,male,no,23,11,14,8,14.625,0.79,Dropout,0,0.62
1066,single,9500,present,SSCE,145,127.5,yes,male,yes,19,6,13.41666667,6,13.41666667,0.32,Graduate,0,0
1067,single,9147,present,SSCE,130,123,yes,male,no,18,5,12.33333333,5,11.4,-4.06,Graduate,0.93,0
1068,single,9500,present,SSCE,128,100,yes,male,no,20,7,13.1,8,14.8125,0.79,Graduate,0,1.71
1069,single,9670,present,SSCE,111,114.2,yes,male,no,18,4,13.2,5,12.8,1.79,Graduate,0.4,0
1070,single,9500,present,SSCE,140,123.5,yes,male,yes,19,8,14.75,8,14.75,-3.12,Graduate,0,0
1071,single,9238,present,OND,140,144.3,yes,male,yes,19,6,13.14285714,6,14.33333333,1.79,Graduate,0,1.19
1072,single,9853,present,SSCE,145,142.2,yes,male,no,19,4,12.5,5,12.5,-3.12,Enrolled,0,0
1073,single,9085,present,SSCE,151,161.9,yes,male,no,18,4,13.75,5,14.85714286,0.32,Graduate,0,1.11
1074,single,9238,present,SSCE,132,135.9,yes,male,no,18,5,12.4,6,13,-3.12,Graduate,0,0.6
1075,single,9773,present,SSCE,116,110.1,yes,male,no,18,6,13.33333333,6,12,2.02,Graduate,1.33,0
1076,single,9853,present,SSCE,120,122.5,no,male,no,28,11,11.72727273,8,12,-4.06,Dropout,0,0.27
1079,single,9500,present,SSCE,112,106.8,yes,male,yes,19,6,13.53333333,7,13.61428571,1.79,Graduate,0,0.08
1080,single,9070,present,SSCE,126,120.1,yes,male,yes,20,6,13.16666667,6,12.66666667,2.02,Graduate,0.5,0
1081,single,9254,present,SSCE,120,116.5,yes,male,yes,19,5,13.2,5,11,1.79,Graduate,2.2,0
1083,single,9853,present,SSCE,153,139.7,yes,male,yes,19,7,13.42857143,7,14.85714286,2.02,Graduate,0,1.43
1084,single,9070,present,SSCE,124,123.7,yes,male,yes,18,6,12.71428571,6,12.625,0.79,Graduate,0.09,0
1086,single,9670,present,SSCE,126,122.2,yes,male,yes,19,6,13.66666667,6,13.66666667,3.51,Graduate,0,0
1087,single,9773,present,SSCE,133.1,146,yes,male,no,20,5,11,6,13.16666667,-0.92,Graduate,0,2.17
1088,single,9853,present,SSCE,114,108.8,yes,male,no,18,5,11.4,6,13.33333333,0.79,Enrolled,0,1.93
1090,single,9130,present,SSCE,130,123.8,yes,male,no,18,4,12,5,12,0.32,Graduate,0,0
1092,single,9238,present,SSCE,143,126.9,yes,male,no,18,5,11,6,11.66666667,0.32,Graduate,0,0.67
1093,single,9773,present,SSCE,130,121.3,yes,male,no,20,5,12,6,11.57142857,-4.06,Dropout,0.43,0
1094,single,9500,present,SSCE,136,129,yes,male,yes,19,7,13.30857143,8,12.55,1.79,Graduate,0.76,0
1098,single,9773,present,SSCE,135,124.9,yes,male,yes,20,6,12.66666667,6,12.83333333,1.74,Graduate,0,0.17
1099,single,9500,present,SSCE,133,128.5,yes,male,yes,19,8,14.07125,8,14.07125,-3.12,Graduate,0,0
1100,single,9085,present,Bsc,122,126.2,yes,male,no,22,4,14.25,5,13.2,-3.12,Dropout,1.05,0
1103,single,9147,present,SSCE,123,113.2,yes,male,no,21,6,11.16666667,7,10.57142857,0.32,Enrolled,0.6,0
1104,single,9238,present,SSCE,128,120.3,yes,male,no,19,2,13,5,11.6,0.32,Graduate,1.4,0
1106,single,9500,present,SSCE,124,123.3,yes,male,yes,20,7,14.90142857,7,14.90142857,-3.12,Dropout,0,0
1107,single,9500,present,SSCE,135,126.3,yes,male,yes,18,7,12.65,8,12.44555556,-4.06,Graduate,0.2,0
1108,single,9991,absent,Msc,110,128.2,no,male,no,22,7,11,5,10.6,3.51,Dropout,0.4,0
1109,single,9085,present,SSCE,138,134.9,yes,male,no,20,4,12.4,5,12.66666667,0.32,Graduate,0,0.27
1110,single,9003,present,OND,140,140,yes,male,no,19,6,12,6,12.66666667,1.79,Graduate,0,0.67
1111,single,9500,present,SSCE,126,115.5,yes,male,yes,19,7,12.13571429,7,13.32857143,1.79,Graduate,0,1.19
1112,single,9500,present,SSCE,113,106.7,yes,male,yes,20,5,12.62,6,12.5,2.02,Enrolled,0.12,0
1114,single,9500,present,SSCE,145,136.6,yes,male,yes,19,6,13.76666667,7,14.05142857,-4.06,Graduate,0,0.28
1115,single,9500,present,SSCE,124,119.3,yes,male,no,19,8,13.11625,8,13.11625,-3.12,Graduate,0,0
1117,single,9500,present,SSCE,138,144.3,yes,male,no,20,6,12.7,7,13.57142857,0.79,Graduate,0,0.87
1118,single,9130,present,SSCE,130,159,yes,male,no,25,7,11.85714286,5,11.7,1.79,Enrolled,0.16,0
1119,single,9500,present,SSCE,127,129.5,yes,male,yes,20,6,12.33333333,6,12.33333333,0.32,Graduate,0,0
1120,single,9238,present,SSCE,170,140,yes,male,no,24,4,15.75,5,16.4,-3.12,Enrolled,0,0.65
1121,single,9670,present,SSCE,111,105.4,yes,male,no,20,5,13.33333333,5,13.2,0.32,Graduate,0.13,0
1122,single,9500,present,SSCE,100,136,yes,male,no,21,7,14.35555556,8,13.49375,-4.06,Graduate,0.86,0
1123,single,9003,present,OND,160,160,yes,male,yes,19,6,13,5,13,-4.06,Graduate,0,0
1124,single,9773,present,SSCE,152,139.1,yes,male,yes,19,6,12.83333333,6,13.5,-0.92,Graduate,0,0.67
1126,single,9500,present,HND,133.8,184,yes,male,no,28,7,17.00555556,8,16.58222222,-4.06,Graduate,0.42,0
1127,single,9238,present,SSCE,125,125,no,male,yes,19,5,10.6,5,11,1.74,Graduate,0,0.4
1128,single,9147,present,SSCE,150,138.5,yes,male,yes,18,5,14,5,13.6,1.79,Graduate,0.4,0
1129,married,9500,present,SSCE,143,133.5,yes,male,yes,18,7,12.11428571,7,12.11428571,-1.7,Graduate,0,0
1130,single,9500,present,SSCE,145,141.5,yes,male,yes,18,8,13.05875,8,13.05875,-3.12,Graduate,0,0
1131,single,9500,present,SSCE,120,130,yes,male,no,22,7,13.28571429,7,13.28571429,-1.7,Graduate,0,0
1133,single,9500,present,SSCE,145,145,yes,male,yes,18,7,14.07142857,8,15.1625,0.79,Graduate,0,1.09
1136,single,9070,present,SSCE,136,125.2,yes,male,yes,18,6,14,6,13.625,1.74,Graduate,0.38,0
1138,single,9500,present,SSCE,141,126.3,yes,male,no,18,7,13.29714286,7,13.29714286,1.74,Graduate,0,0
1139,single,9085,present,SSCE,149,147.6,yes,male,no,20,6,13.92307692,6,14.25,-4.06,Graduate,0,0.33
1140,single,9500,present,SSCE,130,125.1,yes,male,no,18,7,13.37,7,12.83333333,-4.06,Graduate,0.54,0
1143,single,9853,present,SSCE,152,154.1,yes,male,yes,18,6,13.33333333,6,12.57142857,-1.7,Graduate,0.76,0
1145,single,8014,absent,SSCE,107,103.5,yes,male,no,22,5,13.4,5,12.2,0.32,Graduate,1.2,0
1147,single,9991,absent,SSCE,141,100,yes,male,no,21,4,11.5,5,11.4,3.51,Graduate,0.1,0
1148,single,9853,present,SSCE,120,115.8,yes,male,no,18,6,12,6,12.16666667,0.79,Enrolled,0,0.17
1149,single,9500,present,SSCE,148,133.8,yes,male,no,18,7,13.48571429,7,13.48571429,-1.7,Graduate,0,0
1150,single,9070,present,SSCE,130,118.5,yes,male,yes,18,6,12,6,11.28571429,3.51,Graduate,0.71,0
1153,single,9500,present,SSCE,138,127.5,yes,male,no,19,5,12.94,5,13.76,-0.92,Enrolled,0,0.82
1154,single,9500,present,SSCE,135,120.5,yes,male,no,19,7,13.25857143,7,13.25857143,1.74,Graduate,0,0
1157,single,9254,present,SSCE,126,118.7,yes,male,yes,21,6,13.57142857,6,12.5,3.51,Graduate,1.07,0
1158,single,9773,present,SSCE,150,130.8,yes,male,yes,20,5,11.8,5,11.83333333,-4.06,Graduate,0,0.03
1159,single,9147,present,SSCE,121,112.6,yes,male,yes,20,5,14.2,5,13.28571429,2.02,Graduate,0.91,0
1160,single,9991,absent,Bsc,133.1,117.2,yes,male,no,41,5,11,5,11.8,0.32,Graduate,0,0.8
1161,married,9500,present,Phd,130,130,yes,male,no,32,4,13.625,7,12.6375,1.79,Enrolled,0.99,0
1162,single,9500,present,SSCE,139,131.8,yes,male,no,18,7,14.65285714,7,14.65285714,1.74,Graduate,0,0
1163,married,8014,absent,SSCE,160,97,yes,male,yes,35,6,11.33333333,6,11.33333333,-4.06,Graduate,0,0
1165,single,8014,absent,Phd,140,148,yes,male,no,37,11,13.72727273,8,14.75,1.79,Graduate,0,1.02
1166,married,9147,present,HND,130,103.4,yes,male,no,30,7,11.75,7,11.14285714,-1.7,Dropout,0.61,0
1167,single,9773,present,SSCE,132,127.1,yes,female,no,23,6,12.33333333,5,13,0.32,Graduate,0,0.67
1168,single,9773,present,SSCE,139,124,yes,male,yes,20,6,14,6,13.85714286,-4.06,Dropout,0.14,0
1170,single,9147,present,SSCE,117,118.1,yes,female,no,19,5,11.2,5,13.2,1.79,Graduate,0,2
1171,single,9500,present,SSCE,137,121.3,yes,female,yes,18,7,15.07,7,15.07,1.74,Graduate,0,0
1173,single,9991,absent,SSCE,130,115.2,yes,female,no,24,4,12,5,12.66666667,1.79,Enrolled,0,0.67
1176,single,9238,present,SSCE,130,126.9,yes,male,no,18,6,13.57142857,5,12.16666667,-3.12,Graduate,1.4,0
1177,single,9070,present,SSCE,152,168.5,yes,female,no,21,5,14.6,5,14.2,-0.92,Graduate,0.4,0
1179,single,9130,present,SSCE,140,122.8,yes,male,yes,19,7,12.625,8,12.5125,-1.7,Graduate,0.11,0
1182,single,9500,present,SSCE,133.1,108.5,yes,male,no,19,7,12.60625,6,11.9,1.79,Graduate,0.71,0
1183,single,9085,present,Msc,140,138.2,no,male,no,21,8,13.75,5,13.2,3.51,Dropout,0.55,0
1184,single,9500,present,SSCE,133.1,96,yes,male,no,19,6,13.59833333,6,11.93333333,2.02,Enrolled,1.67,0
1185,single,9238,present,SSCE,135,124.5,yes,male,yes,18,5,11.14285714,6,12.28571429,-0.92,Graduate,0,1.14
1186,married,9500,present,HND,120,120,yes,male,no,45,11,12.7,10,12.96818182,0.79,Enrolled,0,0.27
1189,single,9670,present,SSCE,141,132.6,yes,male,yes,18,6,14,6,13.14285714,2.02,Graduate,0.86,0
1191,single,9500,present,SSCE,139,124.5,yes,male,no,19,7,12.04142857,7,12.04142857,1.74,Graduate,0,0
1193,single,9254,present,Phd,130,130,yes,male,no,39,13,13.76923077,12,14.58333333,0.79,Graduate,0,0.81
1194,married,9003,present,SSCE,130,144,yes,male,no,29,18,15.44444444,13,15.30769231,-4.06,Graduate,0.14,0
1195,single,9853,present,SSCE,125,128.5,yes,male,no,18,6,11.5,7,12.71428571,0.79,Enrolled,0,1.21
1198,single,9238,present,SSCE,147,137.2,no,male,no,18,6,14.5,6,15.16666667,1.74,Graduate,0,0.67
1199,single,9085,present,Phd,140,140,yes,male,no,23,6,15.57142857,6,16.375,1.79,Graduate,0,0.8
1200,single,9130,present,SSCE,161,152.3,yes,male,no,18,6,15.57142857,6,14.71428571,2.02,Graduate,0.86,0
1201,married,8014,absent,Bsc,133.1,112.5,yes,male,no,32,5,13.8,6,12.16666667,-3.12,Graduate,1.63,0
1206,single,9500,present,SSCE,120,121.5,yes,male,no,22,12,12.33333333,12,12.33333333,0.32,Graduate,0,0
1207,married,9003,present,Bsc,133.1,120,yes,male,no,37,6,12.875,6,12.9,-0.92,Enrolled,0,0.03
1211,single,9238,present,SSCE,123,113.2,yes,male,yes,20,4,10.75,5,11.5,-4.06,Enrolled,0,0.75
1212,married,9500,present,Bsc,133.1,120,yes,male,yes,35,8,13.63,8,13.63,-3.12,Graduate,0,0
1214,single,9500,present,SSCE,126,121.3,yes,male,yes,18,6,13.53333333,7,12.22857143,1.79,Enrolled,1.3,0
1215,single,9500,present,SSCE,176,169.7,yes,male,yes,18,7,16.9,8,16.37777778,-0.92,Graduate,0.52,0
1217,single,8014,absent,OND,120,121.8,yes,male,no,22,6,12.5,6,13.28571429,1.79,Graduate,0,0.79
1218,single,9500,present,SSCE,140,128.3,yes,male,no,19,7,12.76428571,7,12.76428571,1.74,Graduate,0,0
1219,single,9147,present,SSCE,143,132.2,yes,male,yes,18,5,13.75,5,12.16666667,0.79,Graduate,1.58,0
1221,single,9500,present,SSCE,132,123.4,yes,male,yes,18,7,14.60428571,8,15.68333333,2.02,Graduate,0,1.08
1223,married,8014,absent,Bsc,100,130,yes,male,yes,33,5,13.83333333,6,12.5,-3.12,Graduate,1.33,0
1224,single,9500,present,SSCE,137,126.5,yes,male,yes,19,8,13.57625,8,13.57625,-3.12,Graduate,0,0
1225,single,9238,present,SSCE,153,159.7,yes,male,yes,18,6,15.14285714,6,15.83333333,-1.7,Graduate,0,0.69
1226,single,9147,present,SSCE,160,151.3,yes,male,no,23,3,10.66666667,5,11.6,0.32,Graduate,0,0.93
1227,single,9238,present,SSCE,145,138,yes,male,no,20,5,11.2,6,12,-3.12,Graduate,0,0.8
1228,single,9500,present,SSCE,137,126.5,yes,male,no,18,8,13.76375,8,13.76375,-3.12,Graduate,0,0
1229,single,9085,present,Msc,140,140,yes,male,no,21,8,13.25,5,12.2,3.51,Enrolled,1.05,0
1230,single,9238,present,SSCE,120,112.3,yes,male,yes,22,5,10.71428571,5,12.2,-1.7,Graduate,0,1.49
1231,single,9238,present,SSCE,122,127.3,yes,male,no,20,6,12.16666667,6,11.66666667,-3.12,Graduate,0.5,0
1232,single,9500,present,HND,130,130,yes,male,no,23,6,14.35714286,6,14.35714286,0.32,Graduate,0,0
1233,single,9773,present,SSCE,133.1,115,yes,male,no,19,6,12.83333333,6,12.66666667,-0.92,Graduate,0.17,0
1234,single,9500,present,SSCE,150,131.5,yes,male,no,19,7,13.92571429,7,13.92571429,1.74,Graduate,0,0
1236,single,9500,present,SSCE,141,126.8,yes,male,no,18,7,13.44285714,8,13.74444444,-0.92,Graduate,0,0.3
1238,single,9003,present,OND,150,150,yes,female,no,20,6,13.125,6,13.2,-0.92,Graduate,0,0.07
1243,single,9085,present,OND,140,159.9,yes,male,no,21,5,13.66666667,5,13,-0.92,Graduate,0.67,0
1246,single,9238,present,SSCE,128,120,yes,male,yes,18,6,13.5,6,12.83333333,2.02,Graduate,0.67,0
1249,single,9853,present,SSCE,124,118.1,no,male,no,18,3,13,5,11.8,-3.12,Dropout,1.2,0
1250,single,9254,present,SSCE,158,153.5,yes,male,no,20,6,14.83333333,6,16,2.02,Graduate,0,1.17
1251,single,9773,present,SSCE,137,127.9,yes,male,no,20,6,11.83333333,6,12.85714286,-4.06,Graduate,0,1.02
1252,single,9670,present,SSCE,123,118.8,yes,male,yes,18,5,12,5,12.33333333,2.02,Graduate,0,0.33
1253,single,9238,present,SSCE,126,126.7,yes,male,no,19,4,12.75,6,11.33333333,0.32,Graduate,1.42,0
1256,single,9238,present,SSCE,115,115,yes,male,no,19,6,12,6,12.85714286,2.02,Graduate,0,0.86
1257,single,9130,present,SSCE,132,119,yes,male,no,19,7,11.67777778,8,13.8,-1.7,Graduate,0,2.12
1258,single,9500,present,SSCE,132,121.8,yes,male,yes,19,7,13.6,7,13.6,-1.7,Graduate,0,0
1259,single,9085,present,SSCE,143,133.4,yes,male,no,19,6,16,6,15.875,1.79,Graduate,0.12,0
